UTC,HARD_C,MEAN_H_E
2024-10-03 22:56:41,276,59.931008635711834
2024-10-03 22:56:42,132,77.2401982249978
2024-10-03 22:56:48,239,67.90335906988363
2024-10-03 22:56:51,171,55.98019425997873
2024-10-03 22:56:55,319,49.671697159564616
2024-10-03 22:56:57,146,46.099692627009354
2024-10-03 22:57:02,384,58.193463293512416
2024-10-03 22:57:11,421,65.85067303527977
2024-10-03 22:57:19,409,56.808723575128326
2024-10-03 22:57:26,110,75.59061706919132
2024-10-03 22:57:27,234,65.20215258351955
2024-10-03 22:57:34,121,62.60653290738249
2024-10-03 22:57:35,314,46.85380483739982
2024-10-03 22:57:41,387,55.07898770589207
2024-10-03 22:57:42,30,61.1700923369635
2024-10-03 22:57:48,219,63.80538267284277
2024-10-03 22:57:49,185,55.90210703437329
2024-10-03 22:57:57,83,59.90036245527184
2024-10-03 22:57:58,270,62.81440721527147
2024-10-03 22:58:03,331,55.11368629393952
2024-10-03 22:58:04,92,52.158052770762
2024-10-03 22:58:11,370,63.848070164514176
2024-10-03 22:58:19,24,53.44567753730697
2024-10-03 22:58:20,373,56.33014746682956
2024-10-03 22:58:27,396,62.508273432051084
2024-10-03 22:58:34,240,53.491134932503954
2024-10-03 22:58:36,201,57.28380020222629
2024-10-03 22:58:40,379,47.57270723565294
2024-10-03 22:58:41,32,70.48946823649285
2024-10-03 22:58:48,444,57.17925619650354
2024-10-03 22:58:53,236,60.28740318430947
2024-10-03 22:58:54,184,59.96941313601703
2024-10-03 22:59:01,414,64.92846385380177
2024-10-03 22:59:09,375,66.02164028468371
2024-10-03 22:59:17,438,63.04880494602517
2024-10-03 22:59:26,290,58.282268352024225
2024-10-03 22:59:27,125,70.97548975341867
2024-10-03 22:59:32,96,58.67826298370881
2024-10-03 22:59:33,339,55.379520733030624
2024-10-03 22:59:39,100,60.25145672330194
2024-10-03 22:59:40,332,60.19752144173571
2024-10-03 22:59:48,18,50.55630605930716
2024-10-03 22:59:49,331,63.643642209423014
2024-10-03 22:59:54,356,61.24085123333827
2024-10-03 22:59:55,6,45.4727367021066
2024-10-03 23:00:02,268,61.58129921603245
2024-10-03 23:00:03,146,63.552510828214785
2024-10-03 23:00:09,243,46.250732760043014
2024-10-03 23:00:10,187,64.17587512908985
2024-10-03 23:00:17,375,58.48550593672317
2024-10-03 23:00:25,152,56.42750331658737
2024-10-03 23:00:26,283,53.33489072506625
2024-10-03 23:00:32,410,61.42763980802542
2024-10-03 23:00:39,44,64.30341083213175
2024-10-03 23:00:40,268,64.2287966077609
2024-10-03 23:00:46,351,57.21635880852822
2024-10-03 23:00:47,35,56.65116397995049
2024-10-03 23:00:55,367,67.05096672955123
2024-10-03 23:01:02,143,53.026556355959066
2024-10-03 23:01:03,290,61.10179633781378
2024-10-03 23:01:11,205,54.79101350315573
2024-10-03 23:01:12,209,50.101725535643624
2024-10-03 23:01:14,426,44.57747960991502
2024-10-03 23:01:17,35,66.46406091608485
2024-10-03 23:01:22,245,60.86796095401874
2024-10-03 23:01:23,157,65.9030507762538
2024-10-03 23:01:28,233,46.32509281733528
2024-10-03 23:01:29,207,54.42988460022121
2024-10-03 23:01:35,381,55.38401258171487
2024-10-03 23:01:36,16,58.68195866144329
2024-10-03 23:01:44,435,58.92618438075143
2024-10-03 23:01:52,400,66.56955268805196
2024-10-03 23:01:58,71,51.82862068968971
2024-10-03 23:01:59,385,56.54108792866145
2024-10-03 23:02:07,394,59.643333470225734
